"ID","lista_anterior","familia","especie","categoria","componente"
1,"sim","Acanthaceae","Aphelandra espirito-santensis","EN","Flora"
2,"sim","Acanthaceae","Aphelandra margaritae","VU","Flora"
3,"sim","Acanthaceae","Aphelandra maximiliana","EN","Flora"
4,"nao","Acanthaceae","Aphelandra rigida","EN","Flora"
5,"nao","Acanthaceae","Aphelandra stephanophysa","VU","Flora"
6,"sim","Acanthaceae","Dyschoriste lavandulacea","EN","Flora"
7,"sim","Acanthaceae","Dyschoriste smithii","CR","Flora"
8,"sim","Acanthaceae","Justicia clausseniana","EN","Flora"
9,"sim","Acanthaceae","Justicia genuflexa","VU","Flora"
10,"nao","Acanthaceae","Justicia meyeniana","EN","Flora"
11,"nao","Acanthaceae","Justicia nervata","EN","Flora"
12,"sim","Acanthaceae","Justicia polita","EN","Flora"
13,"sim","Acanthaceae","Justicia ramulosa","VU","Flora"
14,"sim","Acanthaceae","Justicia tijucensis","VU","Flora"
15,"sim","Acanthaceae","Odontonema dissitiflorum","EN","Flora"
16,"sim","Acanthaceae","Pachystachys dubiosa","EN","Flora"
17,"sim","Acanthaceae","Schaueria paranaensis","EN","Flora"
18,"sim","Acanthaceae","Staurogyne brachiata","EN","Flora"
19,"sim","Acanthaceae","Staurogyne elegans","VU","Flora"
20,"nao","Acanthaceae","Staurogyne euryphylla","EN","Flora"
21,"sim","Acanthaceae","Staurogyne itatiaiae","EN","Flora"
22,"sim","Acanthaceae","Staurogyne vauthieriana","EN","Flora"
23,"sim","Acanthaceae","Staurogyne veronicifolia","EN","Flora"
24,"sim","Acanthaceae","Staurogyne warmingiana","EN","Flora"
25,"sim","Acanthaceae","Stenandrium hatschbachii","EN","Flora"
26,"sim","Acanthaceae","Stenandrium stenophyllum","EN","Flora"
27,"nao","Achariaceae","Kuhlmanniodendron macrocarpum","EN","Flora"
28,"sim","Alismataceae","Sagittaria lancifolia","VU","Flora"
29,"sim","Alstroemeriaceae","Alstroemeria amabilis","EN","Flora"
30,"sim","Alstroemeriaceae","Alstroemeria brasiliensis","EN","Flora"
31,"sim","Alstroemeriaceae","Alstroemeria capixaba","CR","Flora"
32,"sim","Alstroemeriaceae","Alstroemeria caryophyllaea","EN","Flora"
33,"sim","Alstroemeriaceae","Alstroemeria malmeana","CR","Flora"
34,"sim","Alstroemeriaceae","Alstroemeria orchidioides","EN","Flora"
35,"sim","Alstroemeriaceae","Alstroemeria penduliflora","EN","Flora"
36,"sim","Amaranthaceae","Alternanthera hirtula","VU","Flora"
37,"sim","Amaranthaceae","Alternanthera januarensis","EN","Flora"
38,"sim","Amaranthaceae","Amaranthus rosengurtii","EN","Flora"
39,"sim","Amaranthaceae","Froelichiella grisea","EN","Flora"
40,"sim","Amaranthaceae","Gomphrena centrota","EN","Flora"
41,"sim","Amaranthaceae","Gomphrena hatschbachiana","EN","Flora"
42,"sim","Amaranthaceae","Gomphrena nigricans","CR","Flora"
43,"sim","Amaranthaceae","Gomphrena paranensis","VU","Flora"
44,"sim","Amaranthaceae","Gomphrena pulchella","EN","Flora"
45,"sim","Amaranthaceae","Gomphrena regeliana","VU","Flora"
46,"sim","Amaranthaceae","Pfaffia argyrea","EN","Flora"
47,"sim","Amaranthaceae","Pfaffia minarum","VU","Flora"
48,"sim","Amaranthaceae","Quaternella glabratoides","EN","Flora"
49,"sim","Amaryllidaceae","Griffinia aracensis","CR","Flora"
50,"sim","Amaryllidaceae","Griffinia colatinensis","CR","Flora"
51,"sim","Amaryllidaceae","Griffinia espiritensis","EN","Flora"
52,"sim","Amaryllidaceae","Griffinia gardneriana","EN","Flora"
53,"sim","Amaryllidaceae","Griffinia hyacinthina","EN","Flora"
54,"nao","Amaryllidaceae","Griffinia intermedia","EN","Flora"
55,"sim","Amaryllidaceae","Griffinia liboniana","EN","Flora"
56,"sim","Amaryllidaceae","Griffinia nocturna","CR","Flora"
57,"sim","Amaryllidaceae","Griffinia parviflora","CR","Flora"
58,"sim","Amaryllidaceae","Griffinia paubrasilica","CR","Flora"
59,"sim","Amaryllidaceae","Hippeastrum angustifolium","VU","Flora"
60,"sim","Amaryllidaceae","Hippeastrum brasilianum","EN","Flora"
61,"sim","Amaryllidaceae","Hippeastrum breviflorum","EN","Flora"
62,"sim","Amaryllidaceae","Hippeastrum leucobasis","CR","Flora"
63,"sim","Amaryllidaceae","Hippeastrum morelianum","VU","Flora"
64,"sim","Amaryllidaceae","Hippeastrum","CR","Flora"
65,"sim","Amaryllidaceae","Hippeastrum psittacinum","EN","Flora"
66,"sim","Amaryllidaceae","Hippeastrum","EN","Flora"
67,"sim","Amaryllidaceae","Hippeastrum santacatarina","EN","Flora"
68,"sim","Amaryllidaceae","Hippeastrum striatum","EN","Flora"
69,"sim","Amaryllidaceae","Hippeastrum vittatum","EN","Flora"
70,"sim","Amaryllidaceae","Worsleya procera","EN","Flora"
71,"sim","Amaryllidaceae","Zephyranthes blumenavia","EN","Flora"
72,"sim","Amaryllidaceae","Zephyranthes candida","EN","Flora"
73,"sim","Amaryllidaceae","Zephyranthes capivarina","VU","Flora"
74,"sim","Amaryllidaceae","Zephyranthes coerulea","VU","Flora"
75,"sim","Amaryllidaceae","Zephyranthes irwiniana","VU","Flora"
76,"sim","Amaryllidaceae","Zephyranthes paranaensis","EN","Flora"
77,"sim","Anacardiaceae","Astronium balansae","EN","Flora"
78,"nao","Anacardiaceae","Astronium glaziovii","EN","Flora"
79,"nao","Anacardiaceae","Astronium pumilum","VU","Flora"
80,"nao","Anacardiaceae","Campnosperma gummiferum","EN","Flora"
81,"sim","Anacardiaceae","Schinopsis balansae","EN","Flora"
82,"nao","Anacardiaceae","Schinus ramboi","EN","Flora"
83,"nao","Anacardiaceae","Spondias admirabilis","EN","Flora"
84,"nao","Anacardiaceae","Spondias bahiensis","EN","Flora"
85,"nao","Anacardiaceae","Thyrsodium bolivianum","EN","Flora"
86,"sim","Anemiaceae","Anemia blechnoides","VU","Flora"
87,"sim","Anemiaceae","Anemia dentata","VU","Flora"
88,"sim","Anemiaceae","Anemia gardneri","VU","Flora"
89,"sim","Anemiaceae","Anemia trichorhiza","VU","Flora"
90,"nao","Anisophylleaceae","Anisophyllea manausensis","VU","Flora"
91,"nao","Annonaceae","Annona angustifolia","EN","Flora"
92,"nao","Annonaceae","Annona ferruginea","CR","Flora"
93,"nao","Annonaceae","Annona gardneri","EN","Flora"
94,"sim","Annonaceae","Annona parviflora","VU","Flora"
95,"nao","Annonaceae","Bocagea viridis","VU","Flora"
96,"nao","Annonaceae","Cymbopetalum euneurum","EN","Flora"
97,"nao","Annonaceae","Duguetia bahiensis","VU","Flora"
98,"nao","Annonaceae","Duguetia duckei","EN","Flora"
99,"sim","Annonaceae","Duguetia magnolioidea","EN","Flora"
100,"nao","Annonaceae","Duguetia microphylla","EN","Flora"
101,"nao","Annonaceae","Duguetia pohliana","EN","Flora"
102,"sim","Annonaceae","Duguetia restingae","CR","Flora"
103,"nao","Annonaceae","Duguetia rotundifolia","VU","Flora"
104,"sim","Annonaceae","Duguetia scottmorii","EN","Flora"
105,"sim","Annonaceae","Duguetia sooretamae","EN","Flora"
106,"nao","Annonaceae","Duguetia subcordata","EN","Flora"
107,"nao","Annonaceae","Guatteria attenuata","CR","Flora"
108,"nao","Annonaceae","Guatteria hispida","EN","Flora"
109,"nao","Annonaceae","Guatteria latifolia","EN","Flora"
110,"nao","Annonaceae","Guatteria stenocarpa","EN","Flora"
111,"sim","Annonaceae","Hornschuchia alba","CR","Flora"
112,"sim","Annonaceae","Hornschuchia cauliflora","EN","Flora"
113,"nao","Annonaceae","Hornschuchia leptandra","EN","Flora"
114,"nao","Annonaceae","Hornschuchia lianarum","EN","Flora"
115,"nao","Annonaceae","Hornschuchia myrtillus","VU","Flora"
116,"sim","Annonaceae","Hornschuchia obliqua","EN","Flora"
117,"nao","Annonaceae","Hornschuchia santosii","EN","Flora"
118,"nao","Annonaceae","Oxandra unibracteata","CR","Flora"
119,"nao","Annonaceae","Pseudoxandra bahiensis","VU","Flora"
120,"nao","Annonaceae","Pseudoxandra spiritus-sancti","EN","Flora"
121,"sim","Annonaceae","Trigynaea axilliflora","EN","Flora"
122,"sim","Annonaceae","Trigynaea oblongifolia","EN","Flora"
123,"nao","Annonaceae","Unonopsis aurantiaca","EN","Flora"
124,"nao","Annonaceae","Unonopsis bauxitae","CR","Flora"
125,"sim","Annonaceae","Unonopsis riedeliana","EN","Flora"
126,"nao","Annonaceae","Unonopsis sanctae-teresae","CR","Flora"
127,"nao","Annonaceae","Xylopia atlantica","EN","Flora"
128,"nao","Annonaceae","Xylopia brasiliensis","VU","Flora"
129,"nao","Annonaceae","Xylopia decorticans","EN","Flora"
130,"nao","Annonaceae","Xylopia involucrata","VU","Flora"
131,"nao","Annonaceae","Xylopia trichostemon","VU","Flora"
132,"sim","Apiaceae","Eryngium corallinum","CR","Flora"
133,"sim","Apiaceae","Eryngium divaricatum","EN","Flora"
134,"sim","Apiaceae","Eryngium dorae","CR","Flora"
135,"sim","Apiaceae","Eryngium falcifolium","EN","Flora"
136,"nao","Apiaceae","Eryngium fluminense","VU","Flora"
137,"sim","Apiaceae","Eryngium koehneanum","VU","Flora"
138,"sim","Apiaceae","Eryngium ombrophilum","EN","Flora"
139,"sim","Apiaceae","Eryngium ramboanum","CR","Flora"
140,"sim","Apiaceae","Eryngium scirpinum","EN","Flora"
141,"sim","Apiaceae","Eryngium smithii","EN","Flora"
142,"sim","Apiaceae","Eryngium urbanianum","EN","Flora"
143,"sim","Apiaceae","Eryngium zosterifolium","VU","Flora"
144,"sim","Apiaceae","Klotzschia rhizophylla","EN","Flora"
145,"sim","Apiaceae","Lilaeopsis brasiliensis","VU","Flora"
146,"nao","Apocynaceae","Aspidosperma auriculatum","EN","Flora"
147,"nao","Apocynaceae","Aspidosperma castroanum","EN","Flora"
148,"nao","Apocynaceae","Aspidosperma confertiflorum","EN","Flora"
149,"nao","Apocynaceae","Aspidosperma formosanum","EN","Flora"
150,"nao","Apocynaceae","Aspidosperma huberianum","EN","Flora"
151,"nao","Apocynaceae","Aspidosperma nigricans","EN","Flora"
152,"nao","Apocynaceae","Aspidosperma obscurinervium","EN","Flora"
153,"nao","Apocynaceae","Aspidosperma occidentale","EN","Flora"
154,"nao","Apocynaceae","Aspidosperma oliganthum","EN","Flora"
155,"nao","Apocynaceae","Aspidosperma parvifolium","EN","Flora"
156,"nao","Apocynaceae","Aspidosperma rizzoanum","EN","Flora"
157,"nao","Apocynaceae","Aspidosperma salgadense","EN","Flora"
158,"nao","Apocynaceae","Aspidosperma thomasii","EN","Flora"
159,"sim","Apocynaceae","Ditassa auriflora","CR","Flora"
160,"sim","Apocynaceae","Ditassa cipoensis","EN","Flora"
161,"sim","Apocynaceae","Ditassa cordeiroana","EN","Flora"
162,"sim","Apocynaceae","Ditassa itambensis","EN","Flora"
163,"sim","Apocynaceae","Ditassa laevis","EN","Flora"
164,"sim","Apocynaceae","Ditassa leonii","VU","Flora"
165,"sim","Apocynaceae","Ditassa longisepala","EN","Flora"
166,"sim","Apocynaceae","Ditassa maricaensis","EN","Flora"
167,"sim","Apocynaceae","Ditassa melantha","EN","Flora"
168,"sim","Apocynaceae","Ditassa oberdanii","EN","Flora"
169,"sim","Apocynaceae","Gonolobus dorothyanus","EN","Flora"
170,"sim","Apocynaceae","Gyrostelma bornmuelleri","EN","Flora"
171,"sim","Apocynaceae","Gyrostelma oxypetaloides","EN","Flora"
172,"sim","Apocynaceae","Hemipogon abietoides","CR","Flora"
173,"sim","Apocynaceae","Hemipogon hatschbachii","CR","Flora"
174,"sim","Apocynaceae","Jobinia hatschbachii","EN","Flora"
175,"nao","Apocynaceae","Lacmellea bahiensis","EN","Flora"
176,"nao","Apocynaceae","Lacmellea pauciflora","EN","Flora"
177,"sim","Apocynaceae","Macroditassa marianae","CR","Flora"
178,"nao","Apocynaceae","Malouetia amazonica","EN","Flora"
179,"nao","Apocynaceae","Malouetia gracillima","EN","Flora"
180,"nao","Apocynaceae","Malouetia lata","EN","Flora"
181,"nao","Apocynaceae","Mandevilla crassinoda","EN","Flora"
182,"sim","Apocynaceae","Marsdenia otoniensis","CR","Flora"
183,"sim","Apocynaceae","Marsdenia queirozii","EN","Flora"
184,"sim","Apocynaceae","Matelea bahiensis","EN","Flora"
185,"sim","Apocynaceae","Matelea glaziovii","VU","Flora"
186,"sim","Apocynaceae","Matelea hatschbachii","EN","Flora"
187,"sim","Apocynaceae","Matelea marcoassisii","VU","Flora"
188,"sim","Apocynaceae","Metastelma giuliettianum","EN","Flora"
189,"sim","Apocynaceae","Metastelma harleyi","EN","Flora"
190,"sim","Apocynaceae","Minaria bifurcata","CR","Flora"
191,"sim","Apocynaceae","Minaria diamantinensis","CR","Flora"
192,"sim","Apocynaceae","Minaria grazielae","EN","Flora"
193,"sim","Apocynaceae","Minaria harleyi","EN","Flora"
194,"sim","Apocynaceae","Minaria hemipogonoides","CR","Flora"
195,"sim","Apocynaceae","Minaria magisteriana","EN","Flora"
196,"sim","Apocynaceae","Minaria monocoronata","CR","Flora"
197,"sim","Apocynaceae","Minaria polygaloides","EN","Flora"
198,"sim","Apocynaceae","Minaria refractifolia","VU","Flora"
199,"sim","Apocynaceae","Minaria semirii","EN","Flora"
200,"sim","Apocynaceae","Minaria volubilis","EN","Flora"
201,"sim","Apocynaceae","Monsanima morrenioides","CR","Flora"
202,"nao","Apocynaceae","Monsanima tinguaensis","VU","Flora"
203,"sim","Apocynaceae","Morilloa furlanii","EN","Flora"
204,"sim","Apocynaceae","Morilloa piranii","CR","Flora"
205,"nao","Apocynaceae","Mucoa duckei","EN","Flora"
206,"nao","Apocynaceae","Orthosia arenosa","EN","Flora"
207,"sim","Apocynaceae","Oxypetalum cordifolium subsp. mexiae","CR","Flora"
208,"nao","Apocynaceae","Oxypetalum costae","CR","Flora"
209,"sim","Apocynaceae","Oxypetalum dusenii","EN","Flora"
210,"sim","Apocynaceae","Oxypetalum ekblomii","EN","Flora"
211,"sim","Apocynaceae","Oxypetalum glaziovii","EN","Flora"
212,"sim","Apocynaceae","Oxypetalum leonii","EN","Flora"
213,"nao","Apocynaceae","Oxypetalum schottii","EN","Flora"
214,"nao","Apocynaceae","Parahancornia krukovii","EN","Flora"
215,"sim","Apocynaceae","Prestonia solanifolia","EN","Flora"
216,"nao","Apocynaceae","Rauvolfia capixabae","EN","Flora"
217,"nao","Apocynaceae","Spongiosperma longilobum","EN","Flora"
218,"sim","Apocynaceae","Tabernaemontana cumata","EN","Flora"
219,"nao","Aptandraceae","Cathedra paraensis","EN","Flora"
220,"sim","Aquifoliaceae","Ilex auricula","EN","Flora"
221,"nao","Aquifoliaceae","Ilex diuretica","VU","Flora"
222,"nao","Aquifoliaceae","Ilex euryaeformis","EN","Flora"
223,"sim","Aquifoliaceae","Ilex loranthoides","VU","Flora"
224,"sim","Aquifoliaceae","Ilex prostrata","CR","Flora"
225,"nao","Aquifoliaceae","Ilex sapiiformis","CR (PEX)","Flora"
226,"nao","Aquifoliaceae","Ilex schwackeana","VU","Flora"
227,"nao","Araceae","Anthurium augustinum","EN","Flora"
228,"nao","Araceae","Anthurium binotii","EN","Flora"
229,"nao","Araceae","Anthurium bragae","EN","Flora"
230,"nao","Araceae","Anthurium cronembergerae","EN","Flora"
231,"sim","Araceae","Anthurium jureianum","VU","Flora"
232,"sim","Araceae","Anthurium langsdorffii","EN","Flora"
233,"nao","Araceae","Anthurium laucheanum","EN","Flora"
234,"nao","Araceae","Anthurium lhotzkyanum","VU","Flora"
235,"sim","Araceae","Anthurium lucidum","CR","Flora"
236,"sim","Araceae","Anthurium luschnathianum","EN","Flora"
237,"sim","Araceae","Anthurium radicans","VU","Flora"
238,"nao","Araceae","Anthurium sakuraguianum","CR","Flora"
239,"nao","Araceae","Anthurium simonii","EN","Flora"
240,"sim","Araceae","Anthurium xanthophylloides","VU","Flora"
241,"sim","Araceae","Heteropsis flexuosa","VU","Flora"
242,"nao","Araceae","Philodendron alternans","EN","Flora"
243,"sim","Araceae","Philodendron fragile","EN","Flora"
244,"nao","Araceae","Philodendron luisae","CR","Flora"
245,"nao","Araceae","Philodendron nadruzianum","EN","Flora"
246,"sim","Araceae","Philodendron spiritus-sancti","EN","Flora"
247,"nao","Araliaceae","Aralia bahiana","EN","Flora"
248,"nao","Araliaceae","Dendropanax amorimii","EN","Flora"
249,"nao","Araliaceae","Dendropanax denticulatus","EN","Flora"
250,"nao","Araliaceae","Dendropanax geniculatus","CR","Flora"
251,"nao","Araliaceae","Dendropanax heterophyllus","CR","Flora"
252,"nao","Araliaceae","Dendropanax langsdorfii","VU","Flora"
253,"nao","Araliaceae","Dendropanax nebulosus","EN","Flora"
254,"nao","Araliaceae","Dendropanax trilobus","CR","Flora"
255,"sim","Araliaceae","Didymopanax acuminatus","EN","Flora"
256,"sim","Araliaceae","Didymopanax auratus","EN","Flora"
257,"nao","Araliaceae","Didymopanax capixabus","CR","Flora"
258,"sim","Araliaceae","Didymopanax gardneri","EN","Flora"
259,"sim","Araliaceae","Didymopanax glaziovii","EN","Flora"
260,"nao","Araliaceae","Didymopanax grandigemmus","CR","Flora"
261,"nao","Araliaceae","Didymopanax kollmannii","EN","Flora"
262,"nao","Araliaceae","Didymopanax plurifolius","VU","Flora"
263,"nao","Araliaceae","Didymopanax racemiferus","CR","Flora"
264,"nao","Araliaceae","Didymopanax ruschianus","CR","Flora"
265,"nao","Araliaceae","Didymopanax villosissimus","EN","Flora"
266,"nao","Araliaceae","Hydrocotyle bradei","CR","Flora"
267,"sim","Araliaceae","Hydrocotyle langsdorffii","EN","Flora"
268,"nao","Araliaceae","Hydrocotyle ulei","EN","Flora"
269,"sim","Araliaceae","Sciodaphyllum sprucei","EN","Flora"
270,"sim","Araucariaceae","Araucaria angustifolia","EN","Flora"
271,"sim","Arecaceae","Acrocomia emensis","VU","Flora"
272,"sim","Arecaceae","Allagoptera brevicalyx","VU","Flora"
273,"sim","Arecaceae","Attalea barreirensis","VU","Flora"
274,"sim","Arecaceae","Bactris timbuiensis","EN","Flora"
275,"sim","Arecaceae","Butia capitata","VU","Flora"
276,"sim","Arecaceae","Butia eriospatha","VU","Flora"
277,"nao","Arecaceae","Butia exilata","CR","Flora"
278,"sim","Arecaceae","Butia leptospatha","CR","Flora"
279,"sim","Arecaceae","Butia microspadix","VU","Flora"
280,"sim","Arecaceae","Butia purpurascens","EN","Flora"
281,"sim","Arecaceae","Butia yatay","VU","Flora"
282,"sim","Arecaceae","Euterpe edulis","VU","Flora"
283,"sim","Arecaceae","Syagrus glaucescens","VU","Flora"
284,"sim","Arecaceae","Syagrus macrocarpa","EN","Flora"
285,"sim","Arecaceae","Syagrus mendanhensis","CR","Flora"
286,"sim","Arecaceae","Syagrus picrophylla","VU","Flora"
287,"sim","Arecaceae","Syagrus ruschiana","VU","Flora"
288,"nao","Arecaceae","Syagrus weddelliana","EN","Flora"
289,"nao","Arecaceae","Trithrinax acanthocoma","VU","Flora"
290,"sim","Aristolochiaceae","Aristolochia hypoglauca","EN","Flora"
291,"sim","Aristolochiaceae","Aristolochia odora","VU","Flora"
292,"nao","Aristolochiaceae","Aristolochia raja","EN","Flora"
293,"sim","Arnelliaceae","Gongylanthus liebmannianus","EN","Flora"
294,"sim","Arnelliaceae","Southbya organensis","CR","Flora"
295,"sim","Aspleniaceae","Asplenium beckeri","CR","Flora"
296,"sim","Aspleniaceae","Asplenium bradeanum","EN","Flora"
297,"nao","Aspleniaceae","Asplenium cariocanum","EN","Flora"
298,"sim","Aspleniaceae","Asplenium castaneum","EN","Flora"
299,"sim","Aspleniaceae","Asplenium schwackei","CR","Flora"
300,"sim","Aspleniaceae","Asplenium trindadense","CR","Flora"
301,"sim","Asteraceae","Achyrocline eriodes","VU","Flora"
302,"sim","Asteraceae","Acmella pusilla","EN","Flora"
303,"nao","Asteraceae","Acritopappus buiquensis","CR","Flora"
304,"sim","Asteraceae","Acritopappus catolesensis","EN","Flora"
305,"sim","Asteraceae","Acritopappus connatifolius","EN","Flora"
306,"nao","Asteraceae","Acritopappus harleyi","CR","Flora"
307,"sim","Asteraceae","Acritopappus irwinii","VU","Flora"
308,"nao","Asteraceae","Acritopappus pereirae","CR","Flora"
309,"sim","Asteraceae","Acritopappus pintoi","EN","Flora"
310,"nao","Asteraceae","Acritopappus prunifolius","VU","Flora"
311,"nao","Asteraceae","Acritopappus subtomentosus","CR","Flora"
312,"nao","Asteraceae","Acritopappus teixeirae","VU","Flora"
313,"sim","Asteraceae","Agrianthus almasensis","EN","Flora"
314,"sim","Asteraceae","Agrianthus giuliettiae","EN","Flora"
315,"sim","Asteraceae","Aldama corumbensis","EN","Flora"
316,"sim","Asteraceae","Aldama filifolia","EN","Flora"
317,"sim","Asteraceae","Aldama goyazii","VU","Flora"
318,"sim","Asteraceae","Aldama linearifolia","CR","Flora"
319,"sim","Asteraceae","Aldama paranensis","CR","Flora"
320,"sim","Asteraceae","Aldama vernonioides","EN","Flora"
321,"sim","Asteraceae","Anteremanthus hatschbachii","EN","Flora"
322,"nao","Asteraceae","Anteremanthus piranii","EN","Flora"
323,"sim","Asteraceae","Aspilia almasensis","VU","Flora"
324,"sim","Asteraceae","Aspilia belo-horizontinae","CR","Flora"
325,"sim","Asteraceae","Aspilia caudata","EN","Flora"
326,"sim","Asteraceae","Aspilia cordifolia","EN","Flora"
327,"sim","Asteraceae","Aspilia cylindrocephala","VU","Flora"
328,"sim","Asteraceae","Aspilia diamantinae","EN","Flora"
329,"sim","Asteraceae","Aspilia diffusiflora","VU","Flora"
330,"sim","Asteraceae","Aspilia diniz-cruzeanae","CR","Flora"
331,"sim","Asteraceae","Aspilia eglerii","CR","Flora"
332,"sim","Asteraceae","Aspilia espinhacensis","EN","Flora"
333,"sim","Asteraceae","Aspilia grazielae","EN","Flora"
334,"sim","Asteraceae","Aspilia jugata","CR","Flora"
335,"sim","Asteraceae","Aspilia ovatifolia","CR","Flora"
336,"sim","Asteraceae","Aspilia pereirae","EN","Flora"
337,"sim","Asteraceae","Aspilia prostrata","EN","Flora"
338,"sim","Asteraceae","Aspilia reticulata","VU","Flora"
339,"sim","Asteraceae","Aspilia silphioides","EN","Flora"
340,"nao","Asteraceae","Austrocritonia rosea","EN","Flora"
341,"nao","Asteraceae","Austrocritonia taunayana","EN","Flora"
342,"sim","Asteraceae","Austroeupatorium rosmarinaceum","VU","Flora"
343,"sim","Asteraceae","Baccharis aracatubensis","EN","Flora"
344,"nao","Asteraceae","Baccharis bifrons","EN","Flora"
345,"nao","Asteraceae","Baccharis ciliata","CR","Flora"
346,"sim","Asteraceae","Baccharis concinna","VU","Flora"
347,"sim","Asteraceae","Baccharis elliptica","EN","Flora"
348,"nao","Asteraceae","Baccharis friburgensis","EN","Flora"
349,"sim","Asteraceae","Baccharis hypericifolia","EN","Flora"
350,"sim","Asteraceae","Baccharis lychnophora","VU","Flora"
351,"sim","Asteraceae","Baccharis penningtonii","VU","Flora"
352,"sim","Asteraceae","Baccharis polyphylla","VU","Flora"
353,"sim","Asteraceae","Baccharis pseudoalpestris","VU","Flora"
354,"nao","Asteraceae","Baccharis pseudovaccinioides","CR","Flora"
355,"sim","Asteraceae","Caatinganthus rubropappus","EN","Flora"
356,"sim","Asteraceae","Calea abbreviata","CR","Flora"
357,"sim","Asteraceae","Calea acaulis","VU","Flora"
358,"sim","Asteraceae","Calea brittoniana","CR","Flora"
359,"sim","Asteraceae","Calea gentianoides","VU","Flora"
360,"sim","Asteraceae","Calea heteropappa","EN","Flora"
361,"sim","Asteraceae","Calea kristiniae","EN","Flora"
362,"nao","Asteraceae","Calea wedelioides","EN","Flora"
363,"sim","Asteraceae","Campuloclinium parvulum","VU","Flora"
364,"sim","Asteraceae","Catolesia mentiens","CR","Flora"
365,"sim","Asteraceae","Chaptalia chapadensis","CR","Flora"
366,"sim","Asteraceae","Chaptalia cordifolia","VU","Flora"
367,"sim","Asteraceae","Chaptalia hermogenis","CR","Flora"
368,"sim","Asteraceae","Chionolaena lychnophorioides","VU","Flora"
369,"sim","Asteraceae","Chresta souzae","EN","Flora"
370,"sim","Asteraceae","Chromolaena arrayana","EN","Flora"
371,"sim","Asteraceae","Chromolaena costatipes","EN","Flora"
372,"sim","Asteraceae","Chromolaena rhinanthacea","EN","Flora"
373,"sim","Asteraceae","Chronopappus bifrons","EN","Flora"
374,"sim","Asteraceae","Chrysolaena nicolackii","VU","Flora"
375,"sim","Asteraceae","Cololobus longiangustatus","EN","Flora"
376,"sim","Asteraceae","Cololobus rupestris","EN","Flora"
377,"nao","Asteraceae","Dasyphyllum cryptocephalum","EN","Flora"
378,"nao","Asteraceae","Dasyphyllum leptacanthum","EN","Flora"
379,"sim","Asteraceae","Dendrophorbium catharinense","VU","Flora"
380,"sim","Asteraceae","Dendrophorbium paranense","EN","Flora"
381,"sim","Asteraceae","Dimerostemma annuum","EN","Flora"
382,"sim","Asteraceae","Dimerostemma episcopale","EN","Flora"
383,"sim","Asteraceae","Dimerostemma grazielae","VU","Flora"
384,"sim","Asteraceae","Dimerostemma myrtifolium","EN","Flora"
385,"sim","Asteraceae","Disynaphia ericoides","EN","Flora"
386,"sim","Asteraceae","Disynaphia praeficta","EN","Flora"
387,"sim","Asteraceae","Disynaphia variolata","EN","Flora"
388,"sim","Asteraceae","Echinocoryne echinocephala","EN","Flora"
389,"nao","Asteraceae","Eremanthus arboreus","CR","Flora"
390,"sim","Asteraceae","Eremanthus argenteus","EN","Flora"
391,"nao","Asteraceae","Eremanthus auriculatus","VU","Flora"
392,"nao","Asteraceae","Eremanthus brevifolius","CR","Flora"
393,"nao","Asteraceae","Eremanthus ovatifolius","CR","Flora"
394,"nao","Asteraceae","Eremanthus praetermissus","VU","Flora"
395,"sim","Asteraceae","Eremanthus reticulatus","EN","Flora"
396,"sim","Asteraceae","Eremanthus syncephalus","EN","Flora"
397,"nao","Asteraceae","Eremanthus veadeiroensis","EN","Flora"
398,"nao","Asteraceae","Fulcaldea stuessyi","CR","Flora"
399,"nao","Asteraceae","Graphistylis cuneifolia","CR","Flora"
400,"sim","Asteraceae","Heterocoma albida","CR","Flora"
401,"nao","Asteraceae","Heterocoma ekmaniana","EN","Flora"
402,"nao","Asteraceae","Heterocoma erecta","EN","Flora"
403,"nao","Asteraceae","Heterocoma lanuginosa","EN","Flora"
404,"sim","Asteraceae","Heterocondylus lysimachioides","VU","Flora"
405,"sim","Asteraceae","Hoehnephytum almasense","EN","Flora"
406,"sim","Asteraceae","Holocheilus hieracioides","EN","Flora"
407,"sim","Asteraceae","Holocheilus monocephalus","EN","Flora"
408,"nao","Asteraceae","Hololepis hatschbachii","CR","Flora"
409,"sim","Asteraceae","Hysterionica pinnatiloba","EN","Flora"
410,"sim","Asteraceae","Hysterionica pinnatisecta","CR","Flora"
411,"sim","Asteraceae","Ianthopappus corymbosus","CR","Flora"
412,"sim","Asteraceae","Ichthyothere elliptica","EN","Flora"
413,"sim","Asteraceae","Lepidaploa almasensis","CR","Flora"
414,"nao","Asteraceae","Lepidaploa araujoa","CR","Flora"
415,"sim","Asteraceae","Lepidaploa gnaphalioides","EN","Flora"
416,"nao","Asteraceae","Lepidaploa obtusifolia","EN","Flora"
417,"nao","Asteraceae","Lepidaploa persicifolia","VU","Flora"
418,"sim","Asteraceae","Lepidaploa pseudaurea","EN","Flora"
419,"sim","Asteraceae","Lepidaploa spixiana","EN","Flora"
420,"sim","Asteraceae","Leptostelma catharinense","EN","Flora"
421,"sim","Asteraceae","Lessingianthus adenophyllus","EN","Flora"
422,"sim","Asteraceae","Lessingianthus asteriflorus","EN","Flora"
423,"sim","Asteraceae","Lessingianthus constrictus","CR","Flora"
424,"sim","Asteraceae","Lessingianthus eitenii","EN","Flora"
