"ID","lista_anterior","ordem","familia","especie","categoria","componente","grupo"
1,"nao","Anura","Hylidae","Boana cymbalum","EX","Fauna","Invertebrados terrestres"
2,"sim","Anura","Phyllomedusidae","Phrynomedusa fimbriata","EX","Fauna","Invertebrados terrestres"
3,"sim","Charadriiformes","Scolopacidae","Numenius borealis","RE","Fauna","Invertebrados terrestres"
4,"sim","Passeriformes","Furnariidae","Cichlocolaptes mazarbarnetti","EX","Fauna","Invertebrados terrestres"
5,"sim","Passeriformes","Furnariidae","Philydor novaesi","EX","Fauna","Invertebrados terrestres"
6,"sim","Passeriformes","Icteridae","Leistes defilippii","RE","Fauna","Invertebrados terrestres"
7,"sim","Psittaciformes","Psittacidae","Anodorhynchus glaucus","RE","Fauna","Invertebrados terrestres"
8,"sim","Strigiformes","Strigidae","Glaucidium mooreorum","EX","Fauna","Invertebrados terrestres"
9,"sim","Rodentia","Cricetidae","Noronhomys vespuccii","EX","Fauna","Invertebrados terrestres"
1,"nao","Amphipoda","Artesiidae","Spelaeogammarus bahiensis","VU","Fauna","Invertebrados aquaticos"
2,"nao","Amphipoda","Artesiidae","Spelaeogammarus sanctus","CR","Fauna","Invertebrados aquaticos"
3,"nao","Amphipoda","Artesiidae","Spelaeogammarus santanensis","CR","Fauna","Invertebrados aquaticos"
4,"nao","Amphipoda","Artesiidae","Spelaeogammarus spinilacertus","EN","Fauna","Invertebrados aquaticos"
5,"nao","Amphipoda","Artesiidae","Spelaeogammarus titan","CR","Fauna","Invertebrados aquaticos"
6,"nao","Amphipoda","Bogidiellidae","Megagidiella azul","VU","Fauna","Invertebrados aquaticos"
7,"nao","Amphipoda","Dogielinotidae","Hyalella caeca","VU","Fauna","Invertebrados aquaticos"
8,"nao","Amphipoda","Hyalellidae","Hyalella epikarstica","CR","Fauna","Invertebrados aquaticos"
9,"nao","Amphipoda","Hyalellidae","Hyalella formosa","CR","Fauna","Invertebrados aquaticos"
10,"nao","Amphipoda","Hyalellidae","Hyalella imbya","CR (PEX)","Fauna","Invertebrados aquaticos"
11,"nao","Amphipoda","Hyalellidae","Hyalella veredae","CR","Fauna","Invertebrados aquaticos"
12,"nao","Amphipoda","Mesogammaridae","Potiberaba porakuara","VU","Fauna","Invertebrados aquaticos"
13,"nao","Amphipoda","Sebidae","Seborgia potiguar","CR","Fauna","Invertebrados aquaticos"
14,"sim","Caenogastropoda","Hydrobiidae","Potamolithus troglobius","CR","Fauna","Invertebrados aquaticos"
15,"sim","Coleoptera","Dytiscidae","Copelatus cessaima","EN","Fauna","Invertebrados aquaticos"
16,"sim","Decapoda","Aeglidae","Aegla brevipalma","CR","Fauna","Invertebrados aquaticos"
17,"sim","Decapoda","Aeglidae","Aegla camargoi","EN","Fauna","Invertebrados aquaticos"
18,"sim","Decapoda","Aeglidae","Aegla cavernicola","CR","Fauna","Invertebrados aquaticos"
19,"nao","Decapoda","Aeglidae","Aegla charon","CR","Fauna","Invertebrados aquaticos"
20,"sim","Decapoda","Aeglidae","Aegla franca","CR","Fauna","Invertebrados aquaticos"
21,"sim","Decapoda","Aeglidae","Aegla inconspicua","VU","Fauna","Invertebrados aquaticos"
22,"sim","Decapoda","Aeglidae","Aegla inermis","EN","Fauna","Invertebrados aquaticos"
23,"sim","Decapoda","Aeglidae","Aegla itacolomiensis","EN","Fauna","Invertebrados aquaticos"
24,"sim","Decapoda","Aeglidae","Aegla leachi","EN","Fauna","Invertebrados aquaticos"
25,"sim","Decapoda","Aeglidae","Aegla leptochela","CR","Fauna","Invertebrados aquaticos"
26,"sim","Decapoda","Aeglidae","Aegla leptodactyla","VU","Fauna","Invertebrados aquaticos"
27,"sim","Decapoda","Aeglidae","Aegla manuinflata","EN","Fauna","Invertebrados aquaticos"
28,"sim","Decapoda","Aeglidae","Aegla microphthalma","CR","Fauna","Invertebrados aquaticos"
29,"sim","Decapoda","Aeglidae","Aegla oblata","EN","Fauna","Invertebrados aquaticos"
30,"sim","Decapoda","Aeglidae","Aegla obstipa","EN","Fauna","Invertebrados aquaticos"
31,"sim","Decapoda","Aeglidae","Aegla perobae","CR","Fauna","Invertebrados aquaticos"
32,"sim","Decapoda","Aeglidae","Aegla renana","CR","Fauna","Invertebrados aquaticos"
33,"sim","Decapoda","Aeglidae","Aegla violacea","EN","Fauna","Invertebrados aquaticos"
34,"sim","Ephemeroptera","Baetidae","Adebrotus lugoi","VU","Fauna","Invertebrados aquaticos"
35,"nao","Ephemeroptera","Baetidae","Camelobaetidius juparana","VU","Fauna","Invertebrados aquaticos"
36,"sim","Ephemeroptera","Baetidae","Camelobaetidius maranhensis","VU","Fauna","Invertebrados aquaticos"
37,"sim","Ephemeroptera","Baetidae","Camelobaetidius spinosus","VU","Fauna","Invertebrados aquaticos"
38,"sim","Ephemeroptera","Leptophlebiidae","Hermanella amere","EN","Fauna","Invertebrados aquaticos"
39,"sim","Ephemeroptera","Leptophlebiidae","Hermanella nigra","VU","Fauna","Invertebrados aquaticos"
40,"nao","Ephemeroptera","Leptophlebiidae","Simothraulopsis eurybasis","VU","Fauna","Invertebrados aquaticos"
41,"nao","Isopoda","Brasileirinidae","Brasileirinho cavaticus","CR","Fauna","Invertebrados aquaticos"
42,"nao","Isopoda","Calabozoidae","Pongycarcinia xiphidiourus","EN","Fauna","Invertebrados aquaticos"
43,"sim","Littorinimorpha","Pomatiopsidae","Spiripockia punctata","CR","Fauna","Invertebrados aquaticos"
44,"sim","Odonata","Aeshnidae","Castoraeschna januaria","VU","Fauna","Invertebrados aquaticos"
45,"sim","Odonata","Aeshnidae","Rhionaeschna eduardoi","EN","Fauna","Invertebrados aquaticos"
46,"sim","Odonata","Coenagrionidae","Homeoura lindneri","VU","Fauna","Invertebrados aquaticos"
47,"sim","Odonata","Coenagrionidae","Leptagrion acutum","CR","Fauna","Invertebrados aquaticos"
48,"sim","Odonata","Coenagrionidae","Leptagrion bocainense","VU","Fauna","Invertebrados aquaticos"
49,"sim","Odonata","Coenagrionidae","Leptagrion capixabae","VU","Fauna","Invertebrados aquaticos"
50,"sim","Odonata","Coenagrionidae","Leptagrion porrectum","EN","Fauna","Invertebrados aquaticos"
51,"sim","Odonata","Coenagrionidae","Leptagrion vriesianum","VU","Fauna","Invertebrados aquaticos"
52,"sim","Odonata","Gomphidae","Phyllocycla bartica","VU","Fauna","Invertebrados aquaticos"
53,"sim","Odonata","Libellulidae","Elasmothemis schubarti","EN","Fauna","Invertebrados aquaticos"
54,"sim","Odonata","Libellulidae","Macrothemis tessellata","VU","Fauna","Invertebrados aquaticos"
55,"sim","Odonata","Libellulidae","Micrathyria borgmeieri","VU","Fauna","Invertebrados aquaticos"
56,"sim","Odonata","Libellulidae","Micrathyria divergens","VU","Fauna","Invertebrados aquaticos"
57,"sim","Odonata","Megapodagrionidae","Heteragrion petiense","EN","Fauna","Invertebrados aquaticos"
58,"sim","Odonata","Pseudostigmatidae","Mecistogaster pronoti","CR (PEX)","Fauna","Invertebrados aquaticos"
59,"sim","Pulmonata","Streptaxidae","Hypselartemon alveus","VU","Fauna","Invertebrados aquaticos"
60,"sim","Spongillida","Spongillidae","Racekiela cavernicola","VU","Fauna","Invertebrados aquaticos"
61,"nao","Tricladida","Dimarcusidae","Hausera hauseri","VU","Fauna","Invertebrados aquaticos"
62,"nao","Tricladida","Dugesiidae","Girardia arenicola","CR","Fauna","Invertebrados aquaticos"
63,"nao","Tricladida","Dugesiidae","Girardia desiderensis","CR","Fauna","Invertebrados aquaticos"
64,"nao","Tricladida","Dugesiidae","Girardia multidiverticulata","CR","Fauna","Invertebrados aquaticos"
65,"nao","Tricladida","Dugesiidae","Girardia paucipuntacta","CR","Fauna","Invertebrados aquaticos"
66,"nao","Tricladida","Uteriporidae","Sluysia triapertura","CR","Fauna","Invertebrados aquaticos"
67,"sim","Zygoptera","Coenagrionidae","Aceratobasis cornicauda","VU","Fauna","Invertebrados aquaticos"
68,"sim","Zygoptera","Coenagrionidae","Aceratobasis mourei","EN","Fauna","Invertebrados aquaticos"
69,"sim","Zygoptera","Coenagrionidae","Fluminagrion taxaense","CR (PEX)","Fauna","Invertebrados aquaticos"
70,"nao","Amphipoda","Artesiidae","Spelaeogammarus trajanoae","EN","Fauna","Invertebrados aquaticos"
71,"sim","Actiniaria","Actiniidae","Condylactis gigantea","EN","Fauna","Invertebrados aquaticos"
72,"sim","Anthoathecata","Milleporidae","Millepora laboreli","VU","Fauna","Invertebrados aquaticos"
73,"sim","Apodida","Synaptidae","Synaptula secreta","CR","Fauna","Invertebrados aquaticos"
74,"sim","Camarodonta","Toxopneustidae","Lytechinus variegatus","VU","Fauna","Invertebrados aquaticos"
75,"sim","Cassiduloida","Cassidulidae","Cassidulus mitis","EN","Fauna","Invertebrados aquaticos"
76,"sim","Decapoda","Gecarcinidae","Cardisoma guanhumi","VU","Fauna","Invertebrados aquaticos"
77,"sim","Decapoda","Gecarcinidae","Johngarthia lagostoma","EN","Fauna","Invertebrados aquaticos"
78,"sim","Enteropneusta","Spengelidae","Willeya loya","CR","Fauna","Invertebrados aquaticos"
79,"sim","Eunicida","Eunicidae","Eunice sebastiani","EN","Fauna","Invertebrados aquaticos"
80,"sim","Eunicida","Onuphidae","Diopatra cuprea","VU","Fauna","Invertebrados aquaticos"
81,"sim","Forcipulatida","Asteriidae","Coscinasterias tenuispina","VU","Fauna","Invertebrados aquaticos"
82,"sim","Littorinimorpha","Strombidae","Eustrombus goliath","VU","Fauna","Invertebrados aquaticos"
83,"sim","Littorinimorpha","Strombidae","Lobatus costatus","VU","Fauna","Invertebrados aquaticos"
84,"sim","Littorinimorpha","Vermetidae","Petaloconchus myrakeenae","VU","Fauna","Invertebrados aquaticos"
85,"sim","Ostreoida","Pectinidae","Euvola ziczac","EN","Fauna","Invertebrados aquaticos"
86,"sim","Paxillosida","Astropectinidae","Astropecten articulatus","VU","Fauna","Invertebrados aquaticos"
87,"sim","Paxillosida","Astropectinidae","Astropecten brasiliensis","VU","Fauna","Invertebrados aquaticos"
88,"sim","Paxillosida","Astropectinidae","Astropecten marginatus","VU","Fauna","Invertebrados aquaticos"
89,"sim","Paxillosida","Luidiidae","Luidia senegalensis","VU","Fauna","Invertebrados aquaticos"
90,"sim","Poecilosclerida","Latrunculiidae","Latrunculia janeirensis","VU","Fauna","Invertebrados aquaticos"
91,"sim","Scleractinia","Mussidae","Mussismilia braziliensis","VU","Fauna","Invertebrados aquaticos"
92,"sim","Scleractinia","Mussidae","Mussismilia harttii","EN","Fauna","Invertebrados aquaticos"
93,"sim","Suberitida","Halichondriidae","Halichondria cebimarensis","VU","Fauna","Invertebrados aquaticos"
94,"sim","Suberitida","Halichondriidae","Halichondria tenebrica","VU","Fauna","Invertebrados aquaticos"
95,"sim","Terebratulida","Bouchardiidae","Bouchardia rosea","EN","Fauna","Invertebrados aquaticos"
96,"sim","Valvatida","Ophidiasteridae","Linckia guildingi","VU","Fauna","Invertebrados aquaticos"
97,"sim","Valvatida","Oreasteridae","Oreaster reticulatus","VU","Fauna","Invertebrados aquaticos"
98,"sim","Atheriniformes","Atherinopsidae","Odontesthes bicudo","EN","Fauna","Peixes"
99,"sim","Carcharhiniformes","Carcharhinidae","Carcharhinus galapagensis","CR","Fauna","Peixes"
100,"sim","Carcharhiniformes","Carcharhinidae","Carcharhinus longimanus","VU","Fauna","Peixes"
101,"sim","Carcharhiniformes","Carcharhinidae","Carcharhinus obscurus","EN","Fauna","Peixes"
102,"sim","Carcharhiniformes","Carcharhinidae","Carcharhinus perezi","VU","Fauna","Peixes"
103,"sim","Carcharhiniformes","Carcharhinidae","Carcharhinus plumbeus","CR","Fauna","Peixes"
104,"sim","Carcharhiniformes","Carcharhinidae","Carcharhinus porosus","CR","Fauna","Peixes"
105,"sim","Carcharhiniformes","Carcharhinidae","Carcharhinus signatus","EN","Fauna","Peixes"
106,"sim","Carcharhiniformes","Carcharhinidae","Isogomphodon oxyrhynchus","CR","Fauna","Peixes"
107,"sim","Carcharhiniformes","Carcharhinidae","Negaprion brevirostris","EN","Fauna","Peixes"
108,"sim","Carcharhiniformes","Sphyrnidae","Sphyrna lewini","CR","Fauna","Peixes"
109,"sim","Carcharhiniformes","Sphyrnidae","Sphyrna media","CR","Fauna","Peixes"
110,"sim","Carcharhiniformes","Sphyrnidae","Sphyrna mokarran","CR","Fauna","Peixes"
111,"sim","Carcharhiniformes","Sphyrnidae","Sphyrna tiburo","CR","Fauna","Peixes"
112,"sim","Carcharhiniformes","Sphyrnidae","Sphyrna tudes","CR","Fauna","Peixes"
113,"sim","Carcharhiniformes","Sphyrnidae","Sphyrna zygaena","CR","Fauna","Peixes"
114,"sim","Carcharhiniformes","Triakidae","Galeorhinus galeus","CR","Fauna","Peixes"
115,"sim","Carcharhiniformes","Triakidae","Mustelus canis","EN","Fauna","Peixes"
116,"sim","Carcharhiniformes","Triakidae","Mustelus fasciatus","CR","Fauna","Peixes"
117,"sim","Carcharhiniformes","Triakidae","Mustelus schmitti","CR","Fauna","Peixes"
118,"sim","Characiformes","Anostomidae","Hypomasticus thayeri","VU","Fauna","Peixes"
119,"sim","Characiformes","Anostomidae","Leporinus guttatus","VU","Fauna","Peixes"
120,"sim","Characiformes","Anostomidae","Leporinus pitingai","CR","Fauna","Peixes"
121,"sim","Characiformes","Anostomidae","Sartor tucuruiense","EN","Fauna","Peixes"
122,"sim","Characiformes","Characidae","Astyanax eremus","CR","Fauna","Peixes"
123,"sim","Characiformes","Characidae","Brycon devillei","EN","Fauna","Peixes"
124,"sim","Characiformes","Characidae","Brycon gouldingi","EN","Fauna","Peixes"
125,"sim","Characiformes","Characidae","Brycon insignis","EN","Fauna","Peixes"
126,"sim","Characiformes","Characidae","Brycon opalinus","VU","Fauna","Peixes"
127,"sim","Characiformes","Characidae","Brycon orbignyanus","CR","Fauna","Peixes"
128,"sim","Characiformes","Characidae","Brycon vermelha","EN","Fauna","Peixes"
129,"sim","Characiformes","Characidae","Bryconamericus lambari","EN","Fauna","Peixes"
130,"sim","Characiformes","Characidae","Diapoma pyrrhopteryx","EN","Fauna","Peixes"
131,"sim","Characiformes","Characidae","Hasemania crenuchoides","EN","Fauna","Peixes"
132,"nao","Characiformes","Characidae","Hasemania maxillaris","CR (PEX)","Fauna","Peixes"
133,"nao","Characiformes","Characidae","Hasemania melanura","CR (PEX)","Fauna","Peixes"
134,"sim","Characiformes","Characidae","Hasemania piatan","EN","Fauna","Peixes"
135,"nao","Characiformes","Characidae","Hasemania uberaba","EN","Fauna","Peixes"
136,"sim","Characiformes","Characidae","Henochilus wheatlandii","CR","Fauna","Peixes"
137,"sim","Characiformes","Characidae","Hollandichthys taramandahy","EN","Fauna","Peixes"
138,"sim","Characiformes","Characidae","Hyphessobrycon duragenys","EN","Fauna","Peixes"
139,"sim","Characiformes","Characidae","Hyphessobrycon flammeus","EN","Fauna","Peixes"
140,"nao","Characiformes","Characidae","Hyphessobrycon taurocephalus","CR (PEX)","Fauna","Peixes"
141,"sim","Characiformes","Characidae","Kolpotocheirodon figueiredoi","CR","Fauna","Peixes"
142,"sim","Characiformes","Characidae","Lepidocharax diamantina","EN","Fauna","Peixes"
143,"sim","Characiformes","Characidae","Mimagoniates lateralis","VU","Fauna","Peixes"
144,"sim","Characiformes","Characidae","Mimagoniates sylvicola","EN","Fauna","Peixes"
145,"sim","Characiformes","Characidae","Rachoviscus crassiceps","EN","Fauna","Peixes"
146,"sim","Characiformes","Characidae","Rachoviscus graciliceps","EN","Fauna","Peixes"
147,"sim","Characiformes","Characidae","Rhinopetitia potamorhachia","EN","Fauna","Peixes"
148,"sim","Characiformes","Characidae","Spintherobolus ankoseion","VU","Fauna","Peixes"
149,"sim","Characiformes","Characidae","Spintherobolus broccae","EN","Fauna","Peixes"
150,"sim","Characiformes","Characidae","Spintherobolus leptoura","EN","Fauna","Peixes"
151,"sim","Characiformes","Characidae","Spintherobolus papilliferus","EN","Fauna","Peixes"
152,"sim","Characiformes","Characidae","Stygichthys typhlops","EN","Fauna","Peixes"
153,"sim","Characiformes","Crenuchidae","Characidium grajahuensis","CR","Fauna","Peixes"
154,"sim","Characiformes","Crenuchidae","Characidium vestigipinne","CR","Fauna","Peixes"
155,"sim","Characiformes","Crenuchidae","Melanocharacidium nigrum","EN","Fauna","Peixes"
156,"sim","Characiformes","Cynodontidae","Roestes itupiranga","VU","Fauna","Peixes"
157,"sim","Characiformes","Lebiasinidae","Lebiasina marilynae","VU","Fauna","Peixes"
158,"sim","Characiformes","Lebiasinidae","Lebiasina melanoguttata","VU","Fauna","Peixes"
159,"sim","Characiformes","Lebiasinidae","Lebiasina minuta","VU","Fauna","Peixes"
160,"sim","Characiformes","Parodontidae","Apareiodon davisi","EN","Fauna","Peixes"
161,"sim","Characiformes","Prochilodontidae","Prochilodus britskii","EN","Fauna","Peixes"
162,"sim","Characiformes","Prochilodontidae","Prochilodus vimboides","VU","Fauna","Peixes"
163,"sim","Characiformes","Serrasalmidae","Mylesinus paucisquamatus","EN","Fauna","Peixes"
164,"sim","Characiformes","Serrasalmidae","Myloplus tiete","EN","Fauna","Peixes"
165,"sim","Characiformes","Serrasalmidae","Ossubtus xinguense","VU","Fauna","Peixes"
166,"sim","Cyprinodontiformes","Anablepidae","Jenynsia sanctaecatarinae","EN","Fauna","Peixes"
167,"sim","Cyprinodontiformes","Poeciliidae","Cnesterodon carnegiei","VU","Fauna","Peixes"
168,"sim","Cyprinodontiformes","Poeciliidae","Cnesterodon iguape","CR","Fauna","Peixes"
169,"sim","Cyprinodontiformes","Poeciliidae","Cnesterodon omorgmatos","CR","Fauna","Peixes"
170,"sim","Cyprinodontiformes","Poeciliidae","Pamphorichthys pertapeh","CR","Fauna","Peixes"
171,"sim","Cyprinodontiformes","Poeciliidae","Phalloptychus eigenmanni","CR","Fauna","Peixes"
172,"sim","Cyprinodontiformes","Poeciliidae","Phallotorynus fasciolatus","CR (PEX)","Fauna","Peixes"
173,"sim","Cyprinodontiformes","Rivulidae","Anablepsoides cearensis","CR","Fauna","Peixes"
174,"sim","Cyprinodontiformes","Rivulidae","Atlantirivulus lazzarotoi","CR","Fauna","Peixes"
175,"sim","Cyprinodontiformes","Rivulidae","Atlantirivulus maricensis","CR","Fauna","Peixes"
176,"sim","Cyprinodontiformes","Rivulidae","Atlantirivulus nudiventris","CR","Fauna","Peixes"
177,"sim","Cyprinodontiformes","Rivulidae","Atlantirivulus simplicis","EN","Fauna","Peixes"
178,"sim","Cyprinodontiformes","Rivulidae","Austrolebias adloffi","EN","Fauna","Peixes"
179,"sim","Cyprinodontiformes","Rivulidae","Austrolebias alexandri","EN","Fauna","Peixes"
180,"sim","Cyprinodontiformes","Rivulidae","Austrolebias arachan","VU","Fauna","Peixes"
181,"nao","Cyprinodontiformes","Rivulidae","Austrolebias araucarianus","VU","Fauna","Peixes"
182,"nao","Cyprinodontiformes","Rivulidae","Austrolebias bagual","CR","Fauna","Peixes"
183,"nao","Cyprinodontiformes","Rivulidae","Austrolebias camaquensis","EN","Fauna","Peixes"
184,"sim","Cyprinodontiformes","Rivulidae","Austrolebias carvalhoi","CR","Fauna","Peixes"
185,"sim","Cyprinodontiformes","Rivulidae","Austrolebias cheradophilus","CR","Fauna","Peixes"
186,"sim","Cyprinodontiformes","Rivulidae","Austrolebias cinereus","CR","Fauna","Peixes"
187,"sim","Cyprinodontiformes","Rivulidae","Austrolebias cyaneus","EN","Fauna","Peixes"
188,"nao","Cyprinodontiformes","Rivulidae","Austrolebias ephemerus","EN","Fauna","Peixes"
189,"sim","Cyprinodontiformes","Rivulidae","Austrolebias ibicuiensis","EN","Fauna","Peixes"
190,"sim","Cyprinodontiformes","Rivulidae","Austrolebias jaegari","CR","Fauna","Peixes"
191,"sim","Cyprinodontiformes","Rivulidae","Austrolebias litzi","VU","Fauna","Peixes"
192,"sim","Cyprinodontiformes","Rivulidae","Austrolebias nachtigalli","VU","Fauna","Peixes"
193,"sim","Cyprinodontiformes","Rivulidae","Austrolebias nigrofasciatus","EN","Fauna","Peixes"
194,"sim","Cyprinodontiformes","Rivulidae","Austrolebias paucisquama","VU","Fauna","Peixes"
195,"nao","Cyprinodontiformes","Rivulidae","Austrolebias pelotapes","CR","Fauna","Peixes"
196,"nao","Cyprinodontiformes","Rivulidae","Austrolebias pongondo","EN","Fauna","Peixes"
197,"nao","Cyprinodontiformes","Rivulidae","Austrolebias quirogai","CR","Fauna","Peixes"
198,"sim","Cyprinodontiformes","Rivulidae","Austrolebias univentripinnis","CR","Fauna","Peixes"
199,"sim","Cyprinodontiformes","Rivulidae","Austrolebias varzeae","CR","Fauna","Peixes"
200,"sim","Cyprinodontiformes","Rivulidae","Campellolebias brucei","CR","Fauna","Peixes"
201,"sim","Cyprinodontiformes","Rivulidae","Campellolebias chrysolineatus","CR","Fauna","Peixes"
202,"sim","Cyprinodontiformes","Rivulidae","Campellolebias dorsimaculatus","CR","Fauna","Peixes"
203,"sim","Cyprinodontiformes","Rivulidae","Campellolebias intermedius","CR","Fauna","Peixes"
204,"nao","Cyprinodontiformes","Rivulidae","Cynolebias akroa","VU","Fauna","Peixes"
205,"nao","Cyprinodontiformes","Rivulidae","Cynolebias elegans","CR","Fauna","Peixes"
206,"nao","Cyprinodontiformes","Rivulidae","Cynolebias gorutuba","EN","Fauna","Peixes"
207,"sim","Cyprinodontiformes","Rivulidae","Cynolebias griseus","EN","Fauna","Peixes"
208,"sim","Cyprinodontiformes","Rivulidae","Cynolebias leptocephalus","EN","Fauna","Peixes"
209,"nao","Cyprinodontiformes","Rivulidae","Cynolebias parnaibensis","CR","Fauna","Peixes"
210,"nao","Cyprinodontiformes","Rivulidae","Cynopoecilus feltrini","VU","Fauna","Peixes"
211,"sim","Cyprinodontiformes","Rivulidae","Cynopoecilus intimus","VU","Fauna","Peixes"
212,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias adornatus","CR","Fauna","Peixes"
213,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias alternatus","EN","Fauna","Peixes"
214,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias auratus","CR","Fauna","Peixes"
215,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias brunoi","VU","Fauna","Peixes"
216,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias carlettoi","EN","Fauna","Peixes"
217,"nao","Cyprinodontiformes","Rivulidae","Hypsolebias delucai","VU","Fauna","Peixes"
218,"nao","Cyprinodontiformes","Rivulidae","Hypsolebias faouri","VU","Fauna","Peixes"
219,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias fasciatus","VU","Fauna","Peixes"
220,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias flammeus","EN","Fauna","Peixes"
221,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias flavicaudatus","EN","Fauna","Peixes"
222,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias fulminantis","CR","Fauna","Peixes"
223,"nao","Cyprinodontiformes","Rivulidae","Hypsolebias gardneri","EN","Fauna","Peixes"
224,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias ghisolfii","EN","Fauna","Peixes"
225,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias gibberatus","VU","Fauna","Peixes"
226,"nao","Cyprinodontiformes","Rivulidae","Hypsolebias gilbertobrasili","CR","Fauna","Peixes"
227,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias guanambi","VU","Fauna","Peixes"
228,"nao","Cyprinodontiformes","Rivulidae","Hypsolebias hamadryades","CR","Fauna","Peixes"
229,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias harmonicus","VU","Fauna","Peixes"
230,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias hellneri","EN","Fauna","Peixes"
231,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias igneus","EN","Fauna","Peixes"
232,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias janaubensis","CR","Fauna","Peixes"
233,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias longignatus","VU","Fauna","Peixes"
234,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias lopesi","CR","Fauna","Peixes"
235,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias macaubensis","EN","Fauna","Peixes"
236,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias magnificus","EN","Fauna","Peixes"
237,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias marginatus","CR (PEX)","Fauna","Peixes"
238,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias mediopapillatus","VU","Fauna","Peixes"
239,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias multiradiatus","CR","Fauna","Peixes"
240,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias nielseni","EN","Fauna","Peixes"
241,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias notatus","EN","Fauna","Peixes"
242,"nao","Cyprinodontiformes","Rivulidae","Hypsolebias nudiorbitatus","VU","Fauna","Peixes"
243,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias picturatus","EN","Fauna","Peixes"
244,"nao","Cyprinodontiformes","Rivulidae","Hypsolebias radiseriatus","EN","Fauna","Peixes"
245,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias rufus","CR","Fauna","Peixes"
246,"nao","Cyprinodontiformes","Rivulidae","Hypsolebias shibattai","VU","Fauna","Peixes"
247,"nao","Cyprinodontiformes","Rivulidae","Hypsolebias splendissimus","VU","Fauna","Peixes"
248,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias stellatus","EN","Fauna","Peixes"
249,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias tocantinensis","CR","Fauna","Peixes"
250,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias trilineatus","CR","Fauna","Peixes"
251,"sim","Cyprinodontiformes","Rivulidae","Hypsolebias virgulatus","CR","Fauna","Peixes"
252,"sim","Cyprinodontiformes","Rivulidae","Kryptolebias brasiliensis","EN","Fauna","Peixes"
253,"sim","Cyprinodontiformes","Rivulidae","Kryptolebias campelloi","CR","Fauna","Peixes"
254,"sim","Cyprinodontiformes","Rivulidae","Kryptolebias gracilis","CR","Fauna","Peixes"
255,"sim","Cyprinodontiformes","Rivulidae","Leptolebias marmoratus","CR","Fauna","Peixes"
256,"sim","Cyprinodontiformes","Rivulidae","Leptopanchax citrinipinnis","CR","Fauna","Peixes"
257,"sim","Cyprinodontiformes","Rivulidae","Leptopanchax itanhaensis","CR","Fauna","Peixes"
258,"sim","Cyprinodontiformes","Rivulidae","Leptopanchax opalescens","CR","Fauna","Peixes"
259,"sim","Cyprinodontiformes","Rivulidae","Leptopanchax splendens","CR","Fauna","Peixes"
260,"sim","Cyprinodontiformes","Rivulidae","Maratecoara formosa","VU","Fauna","Peixes"
261,"sim","Cyprinodontiformes","Rivulidae","Maratecoara splendida","VU","Fauna","Peixes"
262,"sim","Cyprinodontiformes","Rivulidae","Melanorivulus crixas","VU","Fauna","Peixes"
263,"sim","Cyprinodontiformes","Rivulidae","Melanorivulus illuminatus","VU","Fauna","Peixes"
264,"sim","Cyprinodontiformes","Rivulidae","Melanorivulus karaja","VU","Fauna","Peixes"
265,"sim","Cyprinodontiformes","Rivulidae","Melanorivulus kayapo","VU","Fauna","Peixes"
266,"sim","Cyprinodontiformes","Rivulidae","Melanorivulus kunzei","VU","Fauna","Peixes"
267,"sim","Cyprinodontiformes","Rivulidae","Melanorivulus pinima","EN","Fauna","Peixes"
268,"sim","Cyprinodontiformes","Rivulidae","Melanorivulus rubromarginatus","VU","Fauna","Peixes"
269,"sim","Cyprinodontiformes","Rivulidae","Melanorivulus rutilicaudus","VU","Fauna","Peixes"
270,"sim","Cyprinodontiformes","Rivulidae","Melanorivulus salmonicaudus","VU","Fauna","Peixes"
