"ID","lista_anterior","familia","especie","categoria"
756,"sim","Bromeliaceae","Encholirium scrutor","EN"
757,"nao","Bromeliaceae","Encholirium splendidum","EN"
758,"sim","Bromeliaceae","Encholirium vogelii","CR"
759,"sim","Bromeliaceae","Fernseea bocainensis","CR"
760,"sim","Bromeliaceae","Fernseea itatiaiae","EN"
761,"sim","Bromeliaceae","Guzmania monostachia","VU"
762,"sim","Bromeliaceae","Guzmania sanguinea","EN"
763,"sim","Bromeliaceae","Hohenbergia castellanosii","EN"
764,"sim","Bromeliaceae","Hohenbergia correia-araujoi","CR"
765,"sim","Bromeliaceae","Hohenbergia littoralis","EN"
766,"sim","Bromeliaceae","Hoplocryptanthus caracensis","CR"
767,"sim","Bromeliaceae","Hoplocryptanthus glaziovii","CR"
768,"sim","Bromeliaceae","Karawata depressa","EN"
769,"sim","Bromeliaceae","Karawata gustavoi","CR"
770,"sim","Bromeliaceae","Lapanthus duartei","EN"
771,"sim","Bromeliaceae","Lymania alvimii","EN"
772,"sim","Bromeliaceae","Lymania azurea","EN"
773,"sim","Bromeliaceae","Lymania brachycaulis","EN"
774,"sim","Bromeliaceae","Lymania corallina","EN"
775,"sim","Bromeliaceae","Lymania globosa","EN"
776,"sim","Bromeliaceae","Lymania spiculata","CR"
777,"nao","Bromeliaceae","Neoregelia abendrothae","EN"
778,"sim","Bromeliaceae","Neoregelia angustibracteolata","CR"
779,"nao","Bromeliaceae","Neoregelia bragarum","EN"
780,"sim","Bromeliaceae","Neoregelia brownii","CR"
781,"nao","Bromeliaceae","Neoregelia coimbrae","EN"
782,"nao","Bromeliaceae","Neoregelia coriacea","EN"
783,"nao","Bromeliaceae","Neoregelia eltoniana","EN"
784,"nao","Bromeliaceae","Neoregelia fosteriana","CR"
785,"sim","Bromeliaceae","Neoregelia hoehneana","EN"
786,"nao","Bromeliaceae","Neoregelia indecora","EN"
787,"sim","Bromeliaceae","Neoregelia inexspectata","EN"
788,"nao","Bromeliaceae","Neoregelia lactea","CR"
789,"sim","Bromeliaceae","Neoregelia leprosa","VU"
790,"nao","Bromeliaceae","Neoregelia leucophoea","EN"
791,"nao","Bromeliaceae","Neoregelia longipedicellata","CR"
792,"nao","Bromeliaceae","Neoregelia macahensis","EN"
793,"sim","Bromeliaceae","Neoregelia menescalii","EN"
794,"sim","Bromeliaceae","Neoregelia oligantha","VU"
795,"sim","Bromeliaceae","Neoregelia paulistana","EN"
796,"sim","Bromeliaceae","Neoregelia pernambucana","EN"
797,"nao","Bromeliaceae","Neoregelia petropolitana","EN"
798,"nao","Bromeliaceae","Neoregelia roethii","CR"
799,"sim","Bromeliaceae","Neoregelia ruschii","EN"
800,"sim","Bromeliaceae","Neoregelia sanguinea","EN"
801,"nao","Bromeliaceae","Neoregelia sapiatibensis","EN"
802,"nao","Bromeliaceae","Neoregelia tenebrosa","EN"
803,"nao","Bromeliaceae","Nidularium altimontanum","CR"
804,"nao","Bromeliaceae","Nidularium angustifolium","EN"
805,"nao","Bromeliaceae","Nidularium apiculatum","VU"
806,"sim","Bromeliaceae","Nidularium atalaiaense","EN"
807,"sim","Bromeliaceae","Nidularium azureum","EN"
808,"sim","Bromeliaceae","Nidularium bocainense","EN"
809,"sim","Bromeliaceae","Nidularium corallinum","EN"
810,"sim","Bromeliaceae","Nidularium ferrugineum","CR"
811,"nao","Bromeliaceae","Nidularium fradense","EN"
812,"nao","Bromeliaceae","Nidularium fulgens","VU"
813,"sim","Bromeliaceae","Nidularium itatiaiae","EN"
814,"sim","Bromeliaceae","Nidularium jonesianum","EN"
815,"sim","Bromeliaceae","Nidularium kautskyanum","EN"
816,"sim","Bromeliaceae","Nidularium mangaratibense","CR"
817,"sim","Bromeliaceae","Nidularium minutum","VU"
818,"sim","Bromeliaceae","Nidularium rosulatum","VU"
819,"sim","Bromeliaceae","Nidularium serratum","VU"
820,"sim","Bromeliaceae","Nidularium utriculosum","CR"
821,"nao","Bromeliaceae","Nidularium viridipetalum","EN"
822,"sim","Bromeliaceae","Orthophytum duartei","EN"
823,"sim","Bromeliaceae","Orthophytum foliosum","VU"
824,"sim","Bromeliaceae","Orthophytum fosterianum","EN"
825,"sim","Bromeliaceae","Orthophytum grossiorum","EN"
826,"sim","Bromeliaceae","Orthophytum magalhaesii","EN"
827,"sim","Bromeliaceae","Orthophytum zanonii","CR"
828,"sim","Bromeliaceae","Pitcairnia albiflos","VU"
829,"sim","Bromeliaceae","Pitcairnia bradei","CR"
830,"sim","Bromeliaceae","Pitcairnia burlemarxii","CR"
831,"nao","Bromeliaceae","Pitcairnia corcovadensis","VU"
832,"sim","Bromeliaceae","Pitcairnia decidua","EN"
833,"sim","Bromeliaceae","Pitcairnia encholirioides","EN"
834,"sim","Bromeliaceae","Pitcairnia glaziovii","EN"
835,"nao","Bromeliaceae","Pitcairnia insularis","CR"
836,"sim","Bromeliaceae","Pitcairnia limae","CR"
837,"nao","Bromeliaceae","Pitcairnia staminea","EN"
838,"nao","Bromeliaceae","Pitcairnia suaveolens","EN"
839,"nao","Bromeliaceae","Pitcairnia wendtiae","CR"
840,"sim","Bromeliaceae","Portea alatisepala","VU"
841,"sim","Bromeliaceae","Portea fosteriana","EN"
842,"sim","Bromeliaceae","Portea grandiflora","VU"
843,"sim","Bromeliaceae","Portea kermesina","EN"
844,"sim","Bromeliaceae","Portea nana","EN"
845,"sim","Bromeliaceae","Quesnelia kautskyi","VU"
846,"nao","Bromeliaceae","Quesnelia lateralis","VU"
847,"sim","Bromeliaceae","Quesnelia seideliana","EN"
848,"sim","Bromeliaceae","Rokautskyia caulescens","EN"
849,"sim","Bromeliaceae","Rokautskyia exaltata","EN"
850,"sim","Bromeliaceae","Rokautskyia fernseeoides","CR"
851,"sim","Bromeliaceae","Rokautskyia odoratissima","EN"
852,"sim","Bromeliaceae","Rokautskyia pseudoscaposa","EN"
853,"sim","Bromeliaceae","Rokautskyia robertokautskyi","CR"
854,"sim","Bromeliaceae","Rokautskyia scaposa","EN"
855,"sim","Bromeliaceae","Rokautskyia whitmanii","CR"
856,"sim","Bromeliaceae","Sincoraea amoena","EN"
857,"sim","Bromeliaceae","Sincoraea humilis","CR"
858,"sim","Bromeliaceae","Stigmatodon amadoi","CR"
859,"sim","Bromeliaceae","Stigmatodon brassicoides","EN"
860,"sim","Bromeliaceae","Stigmatodon costae","CR"
861,"sim","Bromeliaceae","Stigmatodon funebris","EN"
862,"nao","Bromeliaceae","Stigmatodon goniorachis","EN"
863,"sim","Bromeliaceae","Stigmatodon harrylutheri","CR"
864,"sim","Bromeliaceae","Tillandsia afonsoana","CR"
865,"sim","Bromeliaceae","Tillandsia araujei","EN"
866,"sim","Bromeliaceae","Tillandsia brachyphylla","EN"
867,"nao","Bromeliaceae","Tillandsia carminea","EN"
868,"sim","Bromeliaceae","Tillandsia crocata","EN"
869,"sim","Bromeliaceae","Tillandsia grazielae","EN"
870,"sim","Bromeliaceae","Tillandsia heubergeri","VU"
871,"sim","Bromeliaceae","Tillandsia jonesii","CR"
872,"sim","Bromeliaceae","Tillandsia kautskyi","VU"
873,"sim","Bromeliaceae","Tillandsia neglecta","CR"
874,"sim","Bromeliaceae","Tillandsia reclinata","CR"
875,"nao","Bromeliaceae","Tillandsia roseiflora","EN"
876,"sim","Bromeliaceae","Tillandsia sucrei","CR"
877,"sim","Bromeliaceae","Tillandsia xiphioides","EN"
878,"nao","Bromeliaceae","Vriesea agostiniana","EN"
879,"sim","Bromeliaceae","Vriesea altimontana","EN"
880,"sim","Bromeliaceae","Vriesea altomacaensis","VU"
881,"sim","Bromeliaceae","Vriesea amethystina","CR"
882,"sim","Bromeliaceae","Vriesea arachnoidea","EN"
883,"sim","Bromeliaceae","Vriesea biguassuensis","EN"
884,"sim","Bromeliaceae","Vriesea bleherae","CR"
885,"sim","Bromeliaceae","Vriesea botafogensis","EN"
886,"sim","Bromeliaceae","Vriesea cacuminis","EN"
887,"sim","Bromeliaceae","Vriesea calimaniana","CR"
888,"sim","Bromeliaceae","Vriesea cearensis","EN"
889,"sim","Bromeliaceae","Vriesea delicatula","VU"
890,"sim","Bromeliaceae","Vriesea diamantinensis","EN"
891,"sim","Bromeliaceae","Vriesea eltoniana","EN"
892,"nao","Bromeliaceae","Vriesea fluminensis","EN"
893,"nao","Bromeliaceae","Vriesea fontourae","CR"
894,"nao","Bromeliaceae","Vriesea fradensis","CR"
895,"nao","Bromeliaceae","Vriesea garlippiana","EN"
896,"sim","Bromeliaceae","Vriesea gracilior","VU"
897,"sim","Bromeliaceae","Vriesea kautskyana","VU"
898,"sim","Bromeliaceae","Vriesea leptantha","CR"
899,"sim","Bromeliaceae","Vriesea longistaminea","CR"
900,"sim","Bromeliaceae","Vriesea menescalii","EN"
901,"sim","Bromeliaceae","Vriesea minarum","EN"
902,"nao","Bromeliaceae","Vriesea nubicola","CR"
903,"sim","Bromeliaceae","Vriesea pastuchoffiana","EN"
904,"sim","Bromeliaceae","Vriesea penduliflora","EN"
905,"sim","Bromeliaceae","Vriesea pinottii","EN"
906,"sim","Bromeliaceae","Vriesea racinae","EN"
907,"sim","Bromeliaceae","Vriesea rubyae","EN"
908,"nao","Bromeliaceae","Vriesea saundersii","EN"
909,"sim","Bromeliaceae","Vriesea saxicola","EN"
910,"sim","Bromeliaceae","Vriesea sazimae","VU"
911,"sim","Bromeliaceae","Vriesea sucrei","EN"
912,"nao","Bromeliaceae","Vriesea teresopolitana","CR"
913,"nao","Bromeliaceae","Vriesea thyrsoidea","EN"
914,"nao","Bromeliaceae","Vriesea vidalii","VU"
915,"nao","Bromeliaceae","Vriesea warmingii","EN"
916,"sim","Bromeliaceae","Vriesea wawranea","EN"
917,"sim","Bromeliaceae","Vriesea weberi","CR"
918,"nao","Bromeliaceae","Vriesea zildae","VU"
919,"sim","Bromeliaceae","Wittrockia superba","EN"
920,"sim","Bruchiaceae","Pringleella subulata","EN"
921,"nao","Burseraceae","Bursera pereirae","EN"
922,"sim","Burseraceae","Bursera simaruba","VU"
923,"sim","Burseraceae","Dacryodes edilsonii","EN"
924,"sim","Burseraceae","Protium bahianum","EN"
925,"nao","Burseraceae","Protium breviacuminatum","EN"
926,"nao","Burseraceae","Protium catuaba","VU"
927,"sim","Burseraceae","Protium giganteum var. crassifolium","VU"
928,"nao","Burseraceae","Protium glaziovii","EN"
929,"sim","Burseraceae","Protium icicariba var. talmonii","EN"
930,"sim","Burseraceae","Protium inodorum","EN"
931,"sim","Burseraceae","Protium occhionii","EN"
932,"sim","Burseraceae","Trattinnickia ferruginea","EN"
933,"sim","Burseraceae","Trattinnickia mensalis","EN"
934,"sim","Cactaceae","Arrojadoa bahiensis","EN"
935,"sim","Cactaceae","Arrojadoa eriocaulis","EN"
936,"sim","Cactaceae","Arthrocereus glaziovii","EN"
937,"sim","Cactaceae","Arthrocereus melanurus subsp. melanurus","EN"
938,"sim","Cactaceae","Arthrocereus melanurus subsp. magnus","EN"
939,"sim","Cactaceae","Arthrocereus melanurus subsp. odorus","EN"
940,"sim","Cactaceae","Arthrocereus rondonianus","EN"
941,"sim","Cactaceae","Brasilicereus markgrafii","EN"
942,"sim","Cactaceae","Cereus mirabella","VU"
943,"sim","Cactaceae","Cipocereus bradei","VU"
944,"sim","Cactaceae","Cipocereus crassisepalus","EN"
945,"sim","Cactaceae","Cipocereus laniflorus","EN"
946,"sim","Cactaceae","Cipocereus minensis","VU"
947,"sim","Cactaceae","Cipocereus pusilliflorus","CR"
948,"sim","Cactaceae","Coleocephalocereus buxbaumianus subsp. flavisetus","VU"
949,"sim","Cactaceae","Coleocephalocereus purpureus","EN"
950,"sim","Cactaceae","Discocactus bahiensis","VU"
951,"sim","Cactaceae","Discocactus catingicola","VU"
952,"sim","Cactaceae","Discocactus horstii","CR"
953,"sim","Cactaceae","Discocactus pseudoinsignis","CR"
954,"sim","Cactaceae","Discocactus zehntneri","VU"
955,"sim","Cactaceae","Echinopsis calochlora","CR"
956,"sim","Cactaceae","Echinopsis oxygona","EN"
957,"sim","Cactaceae","Espostoopsis dybowskii","EN"
958,"sim","Cactaceae","Facheiroa cephaliomelana","EN"
959,"sim","Cactaceae","Facheiroa cephaliomelana subsp. estevesii","EN"
960,"sim","Cactaceae","Facheiroa ulei","EN"
961,"sim","Cactaceae","Frailea buenekeri","EN"
962,"sim","Cactaceae","Frailea castanea","EN"
963,"sim","Cactaceae","Frailea mammifera","CR"
964,"sim","Cactaceae","Frailea phaeodisca","EN"
965,"sim","Cactaceae","Frailea pumila","VU"
966,"sim","Cactaceae","Frailea pygmaea","VU"
967,"sim","Cactaceae","Gymnocalycium denudatum","EN"
968,"sim","Cactaceae","Hatiora herminiae","VU"
969,"sim","Cactaceae","Melocactus azureus","EN"
970,"sim","Cactaceae","Melocactus conoideus","CR"
971,"sim","Cactaceae","Melocactus deinacanthus","CR"
972,"sim","Cactaceae","Melocactus ferreophilus","EN"
973,"sim","Cactaceae","Melocactus glaucescens","EN"
974,"sim","Cactaceae","Melocactus lanssensianus","EN"
975,"sim","Cactaceae","Melocactus pachyacanthus","EN"
976,"sim","Cactaceae","Melocactus paucispinus","VU"
977,"sim","Cactaceae","Melocactus violaceus","VU"
978,"sim","Cactaceae","Melocactus violaceus subsp. ritteri","EN"
979,"sim","Cactaceae","Micranthocereus albicephalus","EN"
980,"sim","Cactaceae","Micranthocereus auriazureus","EN"
981,"sim","Cactaceae","Micranthocereus dolichospermaticus","EN"
982,"sim","Cactaceae","Micranthocereus polyanthus","EN"
983,"sim","Cactaceae","Micranthocereus streckeri","CR"
984,"sim","Cactaceae","Micranthocereus violaciflorus","EN"
985,"sim","Cactaceae","Parodia concinna","EN"
986,"sim","Cactaceae","Parodia crassigibba","EN"
987,"sim","Cactaceae","Parodia erinacea","EN"
988,"sim","Cactaceae","Parodia mammulosa","EN"
989,"sim","Cactaceae","Parodia oxycostata","VU"
990,"sim","Cactaceae","Parodia rechensis","CR"
991,"sim","Cactaceae","Parodia scopa","EN"
992,"sim","Cactaceae","Pereskia aureiflora","VU"
993,"sim","Cactaceae","Pilosocereus aurisetus subsp. aurilanatus","EN"
994,"sim","Cactaceae","Pilosocereus azulensis","CR"
995,"sim","Cactaceae","Pilosocereus floccosus subsp. quadricostatus","EN"
996,"sim","Cactaceae","Pilosocereus fulvilanatus","EN"
997,"sim","Cactaceae","Pilosocereus glaucochrous","VU"
998,"sim","Cactaceae","Pilosocereus magnificus","EN"
999,"sim","Cactaceae","Pilosocereus multicostatus","EN"
1000,"nao","Cactaceae","Pilosocereus ulei","EN"
1001,"nao","Cactaceae","Rhipsalis agudoensis","EN"
1002,"sim","Cactaceae","Rhipsalis cereoides","CR"
1003,"nao","Cactaceae","Rhipsalis flagelliformis","EN"
1004,"nao","Cactaceae","Rhipsalis mesembryanthemoides","EN"
1005,"nao","Cactaceae","Rhipsalis ormindoi","VU"
1006,"sim","Cactaceae","Rhipsalis pacheco-leonis","EN"
1007,"sim","Cactaceae","Rhipsalis paradoxa subsp. septentrionalis","EN"
1008,"nao","Cactaceae","Rhipsalis pentaptera","CR"
1009,"nao","Cactaceae","Rhipsalis triangularis","EN"
1010,"sim","Cactaceae","Schlumbergera kautskyi","EN"
1011,"sim","Cactaceae","Schlumbergera microsphaerica","VU"
1012,"sim","Cactaceae","Schlumbergera opuntioides","VU"
1013,"nao","Cactaceae","Schlumbergera russelliana","EN"
1014,"sim","Cactaceae","Tacinga braunii","VU"
1015,"sim","Cactaceae","Uebelmannia buiningii","CR"
1016,"sim","Cactaceae","Uebelmannia gummifera","VU"
1017,"sim","Cactaceae","Uebelmannia pectinifera","EN"
1018,"nao","Calophyllaceae","Caraipa balbinensis","CR"
1019,"nao","Calophyllaceae","Caraipa rodriguesii","VU"
1020,"nao","Calophyllaceae","Kielmeyera albopunctata","VU"
1021,"nao","Calophyllaceae","Kielmeyera aureovinosa","EN"
1022,"nao","Calophyllaceae","Kielmeyera bifaria","EN"
1023,"nao","Calophyllaceae","Kielmeyera decipiens","CR"
1024,"nao","Calophyllaceae","Kielmeyera elata","EN"
1025,"nao","Calophyllaceae","Kielmeyera excelsa","VU"
1026,"nao","Calophyllaceae","Kielmeyera fatimae","EN"
1027,"nao","Calophyllaceae","Kielmeyera ferruginosa","CR"
1028,"nao","Calophyllaceae","Kielmeyera gracilis","EN"
1029,"nao","Calophyllaceae","Kielmeyera insignis","EN"
1030,"nao","Calophyllaceae","Kielmeyera itacarensis","EN"
1031,"nao","Calophyllaceae","Kielmeyera marauensis","EN"
1032,"sim","Calophyllaceae","Kielmeyera occhioniana","EN"
1033,"nao","Calophyllaceae","Kielmeyera rizziniana","EN"
1034,"sim","Calophyllaceae","Kielmeyera rufotomentosa","EN"
1035,"sim","Calophyllaceae","Kielmeyera rupestris","CR"
1036,"sim","Calophyllaceae","Kielmeyera sigillata","CR"
1037,"sim","Calyceraceae","Boopis bupleuroides","EN"
1038,"sim","Calyceraceae","Boopis itatiaiae","EN"
1039,"sim","Campanulaceae","Lobelia hilaireana","EN"
1040,"sim","Campanulaceae","Lobelia langeana","EN"
1041,"sim","Campanulaceae","Lobelia santos-limae","CR"
1042,"nao","Canellaceae","Cinnamodendron axillare","EN"
1043,"nao","Canellaceae","Cinnamodendron occhionianum","CR"
1044,"nao","Cannabaceae","Celtis orthacanthos","EN"
1045,"nao","Capparaceae","Colicodendron bahianum","VU"
1046,"nao","Capparaceae","Neocalyptrocalyx nectareus","EN"
1047,"sim","Caprifoliaceae","Valeriana glaziovii Taub.","EN"
1048,"sim","Caprifoliaceae","Valeriana glechomifolia","EN"
1049,"sim","Caprifoliaceae","Valeriana organensis","CR"
1050,"sim","Caprifoliaceae","Valeriana reitziana Borsini","VU"
1051,"sim","Caprifoliaceae","Valeriana tajuvensis","VU"
1052,"nao","Cardiopteridaceae","Citronella engleriana","EN"
1053,"sim","Celastraceae","Monteverdia acanthophylla","VU"
1054,"nao","Celastraceae","Monteverdia chapadensis","EN"
1055,"nao","Celastraceae","Monteverdia fugax","EN"
1056,"nao","Celastraceae","Monteverdia horrida","EN"
1057,"nao","Celastraceae","Monteverdia longifolia","VU"
1058,"nao","Celastraceae","Monteverdia megalocarpa","EN"
1059,"nao","Celastraceae","Monteverdia psammophila","EN"
1060,"sim","Celastraceae","Monteverdia rupestris","VU"
1061,"nao","Celastraceae","Monteverdia samydiformis","CR"
1062,"sim","Celastraceae","Peritassa longifolia","VU"
1063,"sim","Celastraceae","Peritassa sadleri","CR"
1064,"sim","Celastraceae","Salacia mosenii","CR"
1065,"nao","Celastraceae","Tontelea corcovadensis","EN"
1066,"sim","Celastraceae","Tontelea lanceolata","EN"
1067,"sim","Celastraceae","Tontelea martiana","EN"
1068,"sim","Chrysobalanaceae","Couepia belemii","EN"
1069,"nao","Chrysobalanaceae","Couepia bondarii","EN"
1070,"sim","Chrysobalanaceae","Couepia carautae","CR"
1071,"nao","Chrysobalanaceae","Couepia coarctata","CR"
1072,"nao","Chrysobalanaceae","Couepia eriantha","VU"
1073,"nao","Chrysobalanaceae","Couepia insignis","EN"
1074,"sim","Chrysobalanaceae","Couepia joaquinae","CR"
1075,"sim","Chrysobalanaceae","Couepia leitaofilhoi","EN"
1076,"nao","Chrysobalanaceae","Couepia longipetiolata","EN"
1077,"sim","Chrysobalanaceae","Couepia meridionalis","CR"
1078,"nao","Chrysobalanaceae","Couepia oxossii","EN"
1079,"nao","Chrysobalanaceae","Couepia parvifolia","EN"
1080,"sim","Chrysobalanaceae","Couepia schottii","EN"
1081,"sim","Chrysobalanaceae","Exellodendron gracile","EN"
1082,"nao","Chrysobalanaceae","Hirtella angustifolia","VU"
1083,"nao","Chrysobalanaceae","Hirtella conduplicata","CR"
1084,"nao","Chrysobalanaceae","Hirtella floribunda","EN"
1085,"nao","Chrysobalanaceae","Hirtella glaziovii","EN"
1086,"nao","Chrysobalanaceae","Hirtella juruensis","EN"
1087,"nao","Chrysobalanaceae","Hirtella kuhlmannii","EN"
1088,"nao","Chrysobalanaceae","Hirtella lancifolia","VU"
1089,"sim","Chrysobalanaceae","Hirtella parviunguis","EN"
1090,"nao","Chrysobalanaceae","Hirtella prancei","EN"
1091,"sim","Chrysobalanaceae","Hirtella santosii","EN"
1092,"nao","Chrysobalanaceae","Hymenopus adolphoduckei","EN"
1093,"sim","Chrysobalanaceae","Hymenopus conferruminatus","CR"
1094,"nao","Chrysobalanaceae","Leptobalanus maguirei","EN"
1095,"nao","Chrysobalanaceae","Leptobalanus turbinatus","EN"
1096,"sim","Chrysobalanaceae","Licania arianeae","EN"
1097,"sim","Chrysobalanaceae","Licania belemii","EN"
1098,"nao","Chrysobalanaceae","Licania cymosa","EN"
1099,"sim","Chrysobalanaceae","Licania indurata","EN"
1100,"nao","Chrysobalanaceae","Licania lamentanda","EN"
1101,"nao","Chrysobalanaceae","Licania naviculistipula","EN"
1102,"nao","Chrysobalanaceae","Licania tocantina","EN"
1103,"nao","Chrysobalanaceae","Moquilea araneosa","VU"
1104,"nao","Chrysobalanaceae","Parinari alvimii","EN"
1105,"sim","Cistaceae","Crocanthemum brasiliensis","EN"
1106,"sim","Clusiaceae","Clusia aemygdioi","EN"
1107,"nao","Clusiaceae","Clusia burchellii","EN"
1108,"nao","Clusiaceae","Clusia diamantina","EN"
1109,"nao","Clusiaceae","Clusia fragrans","EN"
1110,"nao","Clusiaceae","Clusia immersa","EN"
1111,"nao","Clusiaceae","Clusia riedeliana","EN"
1112,"nao","Clusiaceae","Garcinia albuquerquei","EN"
1113,"nao","Clusiaceae","Lorostemon coelhoi","EN"
1114,"sim","Combretaceae","Combretum rupicola","CR"
1115,"sim","Combretaceae","Terminalia acuminata","EN"
1116,"sim","Commelinaceae","Dichorisandra acaulis","EN"
1117,"nao","Commelinaceae","Dichorisandra gaudichaudiana","EN"
1118,"sim","Commelinaceae","Dichorisandra glaziovii","VU"
1119,"sim","Commelinaceae","Dichorisandra leucophthalmos","VU"
1120,"nao","Commelinaceae","Dichorisandra nana","EN"
1121,"sim","Commelinaceae","Dichorisandra neglecta","CR"
1122,"nao","Commelinaceae","Dichorisandra odorata","VU"
1123,"nao","Commelinaceae","Dichorisandra oxypetala","EN"
1124,"nao","Commelinaceae","Dichorisandra picta","CR"
1125,"sim","Commelinaceae","Siderasis fuscata","EN"
1126,"nao","Connaraceae","Connarus marginatus","EN"
1127,"nao","Connaraceae","Rourea bahiensis","EN"
1128,"sim","Connaraceae","Rourea cnestidifolia","EN"
1129,"nao","Connaraceae","Rourea laurifolia","VU"
1130,"sim","Connaraceae","Rourea pseudospadicea","EN"
1131,"nao","Convolvulaceae","Bonamia umbellata","CR"
1132,"sim","Convolvulaceae","Distimake repens","EN"
1133,"sim","Convolvulaceae","Evolvulus chrysotrichos","EN"
1134,"sim","Convolvulaceae","Evolvulus glaziovii","VU"
1135,"sim","Convolvulaceae","Evolvulus kramerioides","VU"
1136,"sim","Convolvulaceae","Evolvulus rariflorus","VU"
1137,"sim","Convolvulaceae","Evolvulus riedelii","EN"
1138,"sim","Convolvulaceae","Evolvulus stellariifolius","EN"
1139,"sim","Convolvulaceae","Ipomoea carajasensis","VU"
1140,"sim","Convolvulaceae","Ipomoea cavalcantei","EN"
1141,"sim","Convolvulaceae","Ipomoea daturiflora","VU"
1142,"sim","Convolvulaceae","Ipomoea macedoi","CR"
1143,"sim","Convolvulaceae","Ipomoea subrevoluta","VU"
1144,"sim","Convolvulaceae","Jacquemontia cephalantha","VU"
1145,"sim","Convolvulaceae","Jacquemontia revoluta","EN"
1146,"sim","Crassulaceae","Crassula peduncularis","CR"
1147,"nao","Cucurbitaceae","Wilbrandia glaziovii","EN"
1148,"nao","Cunoniaceae","Lamanonia brasiliensis","EN"
1149,"nao","Cunoniaceae","Lamanonia ulei","EN"
1150,"sim","Cyperaceae","Bulbostylis distichoides","VU"
1151,"sim","Cyperaceae","Bulbostylis nesiotis","VU"
1152,"sim","Cyperaceae","Bulbostylis smithii","EN"
1153,"sim","Cyperaceae","Cyperus appendiculatus var. atlanticus","VU"
1154,"sim","Cyperaceae","Hypolytrum amorimii","CR"
1155,"sim","Cyperaceae","Hypolytrum bahiense","EN"
1156,"nao","Cyperaceae","Hypolytrum glaziovii","CR"
1157,"sim","Cyperaceae","Hypolytrum lucennoi","VU"
1158,"sim","Cyperaceae","Hypolytrum paraense","EN"
1159,"sim","Cyperaceae","Lagenocarpus bracteosus","EN"
1160,"sim","Cyperaceae","Rhynchospora pilulifera","CR"
1161,"sim","Cyperaceae","Scleria balansae","VU"
1162,"sim","Cyperaceae","Trilepis tenuis","CR"
1163,"sim","Dichapetalaceae","Stephanopodium engleri","EN"
1164,"nao","Dichapetalaceae","Stephanopodium estrellense","EN"
1165,"nao","Dichapetalaceae","Stephanopodium gracile","VU"
1166,"sim","Dichapetalaceae","Stephanopodium magnifolium","EN"
1167,"nao","Dichapetalaceae","Stephanopodium sessile","EN"
1168,"nao","Dichapetalaceae","Tapura follii","CR"
1169,"nao","Dichapetalaceae","Tapura wurdackiana","EN"
1170,"sim","Dicksoniaceae","Dicksonia sellowiana","EN"
1171,"sim","Dicranaceae","Atractylocarpus brasiliensis","EN"
1172,"sim","Dicranaceae","Atractylocarpus longisetus","EN"
1173,"sim","Dicranaceae","Campylopus densicoma","EN"
1174,"sim","Dilleniaceae","Davilla glaziovii","EN"
1175,"sim","Dilleniaceae","Davilla macrocarpa","VU"
1176,"sim","Dilleniaceae","Doliocarpus lancifolius","EN"
1177,"sim","Dioscoreaceae","Dioscorea asperula","VU"
1178,"nao","Dioscoreaceae","Dioscorea bradei","EN"
1179,"nao","Dioscoreaceae","Dioscorea campanulata","EN"
1180,"nao","Dioscoreaceae","Dioscorea itatiaiensis","CR"
1181,"sim","Dioscoreaceae","Dioscorea loefgrenii","VU"
1182,"sim","Dioscoreaceae","Dioscorea mantiqueirensis","CR"
1183,"nao","Dioscoreaceae","Dioscorea margarethia","CR"
1184,"nao","Dioscoreaceae","Dioscorea pedalis","VU"
1185,"sim","Dioscoreaceae","Dioscorea pseudomacrocapsa","EN"
1186,"sim","Dioscoreaceae","Dioscorea sanpaulensis","EN"
1187,"nao","Dioscoreaceae","Dioscorea sphaeroidea","CR"
1188,"sim","Dioscoreaceae","Dioscorea trilinguis","EN"
1189,"sim","Ditrichaceae","Chrysoblastella chilensis","EN"
1190,"nao","Droseraceae","Drosera graminifolia","CR"
1191,"sim","Droseraceae","Drosera graomogolensis","EN"
1192,"nao","Droseraceae","Drosera magnifica","CR"
1193,"nao","Droseraceae","Drosera quartzicola","EN"
1194,"sim","Dryopteridaceae","Elaphoglossum acrocarpum","VU"
1195,"sim","Dryopteridaceae","Elaphoglossum beckeri","CR"
1196,"sim","Dryopteridaceae","Megalastrum wacketii","EN"
1197,"sim","Dryopteridaceae","Polystichum bradei","EN"
1198,"nao","Ebenaceae","Diospyros agnitser","EN"
1199,"nao","Ebenaceae","Diospyros amabi","EN"
1200,"nao","Ebenaceae","Diospyros bullata","VU"
1201,"nao","Ebenaceae","Diospyros ketun","VU"
1202,"nao","Ebenaceae","Diospyros longistyla","VU"
1203,"nao","Ebenaceae","Diospyros mexiae","EN"
1204,"nao","Ebenaceae","Diospyros riedelii","EN"
1205,"nao","Ebenaceae","Diospyros scottmorii","EN"
1206,"nao","Ebenaceae","Diospyros serrana","CR"
1207,"nao","Ebenaceae","Diospyros tarim","EN"
1208,"nao","Ebenaceae","Diospyros ubaita","EN"
1209,"nao","Elaeocarpaceae","Sloanea fasciculata","EN"
1210,"nao","Elaeocarpaceae","Sloanea froesii","VU"
1211,"nao","Elaeocarpaceae","Sloanea hatschbachii","EN"
1212,"sim","Elaeocarpaceae","Sloanea obtusifolia","EN"
1213,"nao","Elaeocarpaceae","Sloanea petalata","CR"
